id;nombre;email;telefono;razon_social;rfc;activo
1;jaywalk;Mateo_HidalgoZapata91@hotmail.com;spork whoa harp;against;mysteriously ;false
2;embody oddball overcharge;Julio13@yahoo.com;whenever;suckle furthermore because;tough beneath;false
3;when lend;Eva90@yahoo.com;madly egg;gosh shaft;for sizzling ;false
4;cannon;Rosa70@gmail.com;abnegate opposite corral;toward dial unearth;jagged indeed;true
5;anenst aw however;Juan.SandovalRodriguez89@yahoo.com;turbulent;fall soap;SUV;true
6;flood wring bathrobe;Arturo67@gmail.com;truly stable salty;rural;even quart;true
7;nudge drive;Gregorio_CorreaCortes@hotmail.com;snarling qua dress;elementary um redound;animated apro;false
8;opposite pendant;Manuel.ReynaMontenegro95@gmail.com;carouse;outlandish ew after;guard;false
9;from;Fernando.CardonaAlba@hotmail.com;parade to;smoggy positively;essay and soy;true
10;perspire dramatic ick;JuanRamon.HurtadoColon@gmail.com;surprisingly;ectoderm boohoo supposing;motor immacul;false
